Method,Technique,Scope,TotalTime,SolvingTime,ExecutedPaths,InvalidPaths,CacheHits
add, LIHYBRID, 1, 0, 0, 2, 1, 0
add, LIHYBRID, 2, 0, 0, 3, 1, 0
add, LIHYBRID, 3, 0, 0, 3, 1, 0
add, LIHYBRID, 4, 0, 0, 3, 1, 0
add, LIHYBRID, 5, 0, 0, 3, 1, 0
add, LIHYBRID, 6, 0, 0, 3, 1, 0
add, LIHYBRID, 7, 0, 0, 3, 1, 0
add, LIHYBRID, 8, 0, 0, 3, 1, 0
add, LIHYBRID, 9, 0, 0, 3, 1, 0
add, LIHYBRID, 10, 0, 0, 3, 1, 0
add, LIHYBRID, 11, 0, 0, 3, 1, 0
add, LIHYBRID, 12, 0, 0, 3, 1, 0
add, LIHYBRID, 13, 0, 0, 3, 1, 0
add, LIHYBRID, 14, 0, 0, 3, 1, 0
add, LIHYBRID, 15, 0, 0, 3, 1, 0
add, LIHYBRID, 16, 0, 0, 3, 1, 0
add, LIHYBRID, 17, 0, 0, 3, 1, 0
add, LIHYBRID, 18, 0, 0, 3, 1, 0
add, LIHYBRID, 19, 0, 0, 3, 1, 0
add, LIHYBRID, 20, 0, 0, 3, 1, 0
add, LIHYBRID, 21, 0, 0, 3, 1, 0
add, LIHYBRID, 22, 0, 0, 3, 1, 0
add, LIHYBRID, 23, 0, 0, 3, 1, 0
add, LIHYBRID, 24, 0, 0, 3, 1, 0
add, LIHYBRID, 25, 0, 0, 3, 1, 0
add, LIHYBRID, 26, 0, 0, 3, 1, 0
add, LIHYBRID, 27, 0, 0, 3, 1, 0
add, LIHYBRID, 28, 0, 0, 3, 1, 0
add, LIHYBRID, 29, 0, 0, 3, 1, 0
add, LIHYBRID, 30, 0, 0, 3, 1, 0
add, LIHYBRID, 31, 0, 0, 3, 1, 0
add, LIHYBRID, 32, 0, 0, 3, 1, 0
add, LIHYBRID, 33, 0, 0, 3, 1, 0
add, LIHYBRID, 34, 0, 0, 3, 1, 0
add, LIHYBRID, 35, 0, 0, 3, 1, 0
add, LIHYBRID, 36, 0, 0, 3, 1, 0
add, LIHYBRID, 37, 0, 0, 3, 1, 0
add, LIHYBRID, 38, 0, 0, 3, 1, 0
add, LIHYBRID, 39, 0, 0, 3, 1, 0
add, LIHYBRID, 40, 0, 0, 3, 1, 0
add, LIHYBRID, 41, 0, 0, 3, 1, 0
add, LIHYBRID, 42, 0, 0, 3, 1, 0
add, LIHYBRID, 43, 0, 0, 3, 1, 0
add, LIHYBRID, 44, 0, 0, 3, 1, 0
add, LIHYBRID, 45, 0, 0, 3, 1, 0
add, LIHYBRID, 46, 0, 0, 3, 1, 0
add, LIHYBRID, 47, 0, 0, 3, 1, 0
add, LIHYBRID, 48, 0, 0, 3, 1, 0
add, LIHYBRID, 49, 0, 0, 3, 1, 0
add, LIHYBRID, 50, 0, 0, 3, 1, 0
add, DRIVER, 1, 0, 0, 2, 0, 0
add, DRIVER, 2, 0, 0, 3, 0, 0
add, DRIVER, 3, 0, 0, 4, 0, 0
add, DRIVER, 4, 0, 0, 5, 0, 0
add, DRIVER, 5, 0, 0, 6, 0, 0
add, DRIVER, 6, 0, 0, 7, 0, 0
add, DRIVER, 7, 0, 0, 8, 0, 0
add, DRIVER, 8, 0, 0, 9, 0, 0
add, DRIVER, 9, 0, 0, 10, 0, 0
add, DRIVER, 10, 0, 0, 11, 0, 0
add, DRIVER, 11, 0, 0, 12, 0, 0
add, DRIVER, 12, 0, 0, 13, 0, 0
add, DRIVER, 13, 0, 0, 14, 0, 0
add, DRIVER, 14, 0, 0, 15, 0, 0
add, DRIVER, 15, 0, 0, 16, 0, 0
add, DRIVER, 16, 0, 0, 17, 0, 0
add, DRIVER, 17, 0, 0, 18, 0, 0
add, DRIVER, 18, 0, 0, 19, 0, 0
add, DRIVER, 19, 0, 0, 20, 0, 0
add, DRIVER, 20, 0, 0, 21, 0, 0
add, DRIVER, 21, 0, 0, 22, 0, 0
add, DRIVER, 22, 0, 0, 23, 0, 0
add, DRIVER, 23, 0, 0, 24, 0, 0
add, DRIVER, 24, 0, 0, 25, 0, 0
add, DRIVER, 25, 0, 0, 26, 0, 0
add, DRIVER, 26, 0, 0, 27, 0, 0
add, DRIVER, 27, 0, 0, 28, 0, 0
add, DRIVER, 28, 0, 0, 29, 0, 0
add, DRIVER, 29, 0, 0, 30, 0, 0
add, DRIVER, 30, 0, 0, 31, 0, 0
add, DRIVER, 31, 0, 0, 32, 0, 0
add, DRIVER, 32, 0, 0, 33, 0, 0
add, DRIVER, 33, 0, 0, 34, 0, 0
add, DRIVER, 34, 0, 0, 35, 0, 0
add, DRIVER, 35, 0, 0, 36, 0, 0
add, DRIVER, 36, 0, 0, 37, 0, 0
add, DRIVER, 37, 0, 0, 38, 0, 0
add, DRIVER, 38, 0, 0, 39, 0, 0
add, DRIVER, 39, 0, 0, 40, 0, 0
add, DRIVER, 40, 0, 0, 41, 0, 0
add, DRIVER, 41, 0, 0, 42, 0, 0
add, DRIVER, 42, 0, 0, 43, 0, 0
add, DRIVER, 43, 0, 0, 44, 0, 0
add, DRIVER, 44, 0, 0, 45, 0, 0
add, DRIVER, 45, 0, 0, 46, 0, 0
add, DRIVER, 46, 0, 0, 47, 0, 0
add, DRIVER, 47, 0, 0, 48, 0, 0
add, DRIVER, 48, 0, 0, 49, 0, 0
add, DRIVER, 49, 0, 0, 50, 0, 0
add, DRIVER, 50, 0, 0, 51, 0, 0
add, IFREPOK, 1, 0, 0, 1, 0, 0
add, IFREPOK, 2, 0, 0, 2, 0, 0
add, IFREPOK, 3, 0, 0, 3, 0, 0
add, IFREPOK, 4, 0, 0, 4, 0, 0
add, IFREPOK, 5, 0, 0, 5, 0, 0
add, IFREPOK, 6, 0, 0, 6, 0, 0
add, IFREPOK, 7, 0, 0, 7, 0, 0
add, IFREPOK, 8, 0, 0, 8, 0, 0
add, IFREPOK, 9, 0, 0, 9, 0, 0
add, IFREPOK, 10, 0, 0, 10, 0, 0
add, IFREPOK, 11, 0, 0, 11, 0, 0
add, IFREPOK, 12, 0, 0, 12, 0, 0
add, IFREPOK, 13, 0, 0, 13, 0, 0
add, IFREPOK, 14, 0, 0, 14, 0, 0
add, IFREPOK, 15, 0, 0, 15, 0, 0
add, IFREPOK, 16, 0, 0, 16, 0, 0
add, IFREPOK, 17, 0, 0, 17, 0, 0
add, IFREPOK, 18, 0, 0, 18, 0, 0
add, IFREPOK, 19, 0, 0, 19, 0, 0
add, IFREPOK, 20, 0, 0, 20, 0, 0
add, IFREPOK, 21, 0, 0, 21, 0, 0
add, IFREPOK, 22, 0, 0, 22, 0, 0
add, IFREPOK, 23, 0, 0, 23, 0, 0
add, IFREPOK, 24, 0, 0, 24, 0, 0
add, IFREPOK, 25, 0, 0, 25, 0, 0
add, IFREPOK, 26, 0, 0, 26, 0, 0
add, IFREPOK, 27, 0, 0, 27, 0, 0
add, IFREPOK, 28, 0, 0, 28, 0, 0
add, IFREPOK, 29, 0, 0, 29, 0, 0
add, IFREPOK, 30, 0, 0, 30, 0, 0
add, IFREPOK, 31, 0, 0, 31, 0, 0
add, IFREPOK, 32, 0, 0, 32, 0, 0
add, IFREPOK, 33, 0, 0, 33, 0, 0
add, IFREPOK, 34, 0, 0, 34, 0, 0
add, IFREPOK, 35, 0, 0, 35, 0, 0
add, IFREPOK, 36, 0, 0, 36, 0, 0
add, IFREPOK, 37, 0, 0, 37, 0, 0
add, IFREPOK, 38, 0, 0, 38, 0, 0
add, IFREPOK, 39, 0, 0, 39, 0, 0
add, IFREPOK, 40, 0, 0, 40, 0, 0
add, IFREPOK, 41, 0, 0, 41, 0, 0
add, IFREPOK, 42, 0, 0, 42, 0, 0
add, IFREPOK, 43, 0, 0, 43, 0, 0
add, IFREPOK, 44, 0, 0, 44, 0, 0
add, IFREPOK, 45, 0, 0, 45, 0, 0
add, IFREPOK, 46, 0, 0, 46, 0, 0
add, IFREPOK, 47, 0, 0, 47, 0, 0
add, IFREPOK, 48, 0, 0, 48, 0, 0
add, IFREPOK, 49, 0, 0, 49, 0, 0
add, IFREPOK, 50, 0, 0, 50, 0, 0
add, LISSA, 1, 0, 0, 1, 0, 0
add, LISSA, 2, 0, 0, 2, 0, 0
add, LISSA, 3, 0, 0, 2, 0, 0
add, LISSA, 4, 0, 0, 2, 0, 0
add, LISSA, 5, 0, 0, 2, 0, 0
add, LISSA, 6, 0, 0, 2, 0, 0
add, LISSA, 7, 0, 0, 2, 0, 0
add, LISSA, 8, 0, 0, 2, 0, 0
add, LISSA, 9, 0, 0, 2, 0, 0
add, LISSA, 10, 0, 0, 2, 0, 0
add, LISSA, 11, 0, 0, 2, 0, 0
add, LISSA, 12, 0, 0, 2, 0, 0
add, LISSA, 13, 0, 0, 2, 0, 0
add, LISSA, 14, 0, 0, 2, 0, 0
add, LISSA, 15, 0, 0, 2, 0, 0
add, LISSA, 16, 0, 0, 2, 0, 0
add, LISSA, 17, 0, 0, 2, 0, 0
add, LISSA, 18, 0, 0, 2, 0, 0
add, LISSA, 19, 0, 0, 2, 0, 0
add, LISSA, 20, 0, 0, 2, 0, 0
add, LISSA, 21, 0, 0, 2, 0, 0
add, LISSA, 22, 0, 0, 2, 0, 0
add, LISSA, 23, 0, 0, 2, 0, 0
add, LISSA, 24, 0, 0, 2, 0, 0
add, LISSA, 25, 0, 0, 2, 0, 0
add, LISSA, 26, 0, 0, 2, 0, 0
add, LISSA, 27, 0, 0, 2, 0, 0
add, LISSA, 28, 0, 0, 2, 0, 0
add, LISSA, 29, 0, 0, 2, 0, 0
add, LISSA, 30, 0, 0, 2, 0, 0
add, LISSA, 31, 0, 0, 2, 0, 0
add, LISSA, 32, 0, 0, 2, 0, 0
add, LISSA, 33, 0, 0, 2, 0, 0
add, LISSA, 34, 0, 0, 2, 0, 0
add, LISSA, 35, 0, 0, 2, 0, 0
add, LISSA, 36, 0, 0, 2, 0, 0
add, LISSA, 37, 0, 0, 2, 0, 0
add, LISSA, 38, 0, 0, 2, 0, 0
add, LISSA, 39, 0, 0, 2, 0, 0
add, LISSA, 40, 0, 0, 2, 0, 0
add, LISSA, 41, 0, 0, 2, 0, 0
add, LISSA, 42, 0, 0, 2, 0, 0
add, LISSA, 43, 0, 0, 2, 0, 0
add, LISSA, 44, 0, 0, 2, 0, 0
add, LISSA, 45, 0, 0, 2, 0, 0
add, LISSA, 46, 0, 0, 2, 0, 0
add, LISSA, 47, 0, 0, 2, 0, 0
add, LISSA, 48, 0, 0, 2, 0, 0
add, LISSA, 49, 0, 0, 2, 0, 0
add, LISSA, 50, 0, 0, 2, 0, 0
add, LISSAM, 1, 0, 0, 1, 0, 0
add, LISSAM, 2, 0, 0, 2, 0, 0
add, LISSAM, 3, 0, 0, 2, 0, 0
add, LISSAM, 4, 0, 0, 2, 0, 0
add, LISSAM, 5, 0, 0, 2, 0, 0
add, LISSAM, 6, 0, 0, 2, 0, 0
add, LISSAM, 7, 0, 0, 2, 0, 0
